"id","category_id","industry_id"
"1",1,1
"2",1,3
"3",1,4
"4",1,5
"5",2,1
"6",2,3
"7",2,4
"8",2,5
"9",3,1
"10",3,3
"11",3,4
"12",3,5
"13",4,1
"14",4,3
"15",4,4
"16",4,5
"17",5,1
"18",5,3
"19",5,4
"20",5,5
"21",6,1
"22",6,3
"23",6,4
"24",6,5
"25",7,1
"26",7,3
"27",7,4
"28",7,5
"29",8,1
"30",8,3
"31",8,4
"32",8,5
"33",9,1
"34",9,3
"35",9,4
"36",9,5
"37",10,1
"38",10,3
"39",10,4
"40",10,5
"41",11,1
"42",11,3
"43",11,4
"44",11,5
"45",12,1
"46",12,3
"47",12,4
"48",12,5
"49",12,8
"50",13,3
"51",13,4
"52",13,5
"53",13,6
"54",14,3
"55",14,4
"56",14,5
"57",14,6
"58",15,9
"59",15,10
"60",15,11
"61",16,9
"62",16,10
"63",16,11
"64",17,9
"65",17,10
"66",17,11
"67",18,9
"68",18,10
"69",18,11
"70",19,9
"71",19,10
"72",19,11
"73",20,9
"74",20,10
"75",20,11
"76",21,9
"77",21,10
"78",21,11
"79",22,9
"80",22,10
"81",22,11
"82",23,9
"83",23,10
"84",23,11
"85",24,9
"86",24,10
"87",24,11
"88",25,9
"89",25,10
"90",25,11
"91",26,9
"92",26,10
"93",26,11
"94",27,1
"95",27,3
"96",27,4
"97",27,5
"98",27,9
"99",27,10
"100",27,11
"101",28,9
"102",28,10
"103",28,11
"104",29,12
"105",29,13
"106",30,12
"107",30,13
"108",31,12
"109",31,13
"110",32,1
"111",32,3
"112",32,4
"113",32,5
"114",32,12
"115",32,13
"116",32,19
"117",33,12
"118",33,13
"119",34,12
"120",34,13
"121",34,19
"122",35,15
"123",36,15
"124",37,15
"125",38,15
"126",39,15
"127",40,15
"128",41,15
"129",42,15
"130",43,12
"131",43,13
"132",43,26
"133",44,1
"134",44,3
"135",44,4
"136",44,5
"137",44,12
"138",44,13
"139",44,26
"140",45,12
"141",45,13
"142",45,15
"143",45,26
"144",46,12
"145",46,13
"146",46,15
"147",47,15
"148",47,26
"149",48,15
"150",48,26
"151",49,1
"152",49,3
"153",49,4
"154",49,5
"155",49,12
"156",49,13
"157",49,15
"158",49,26
"159",50,1
"160",50,3
"161",50,4
"162",50,5
"163",50,12
"164",50,13
"165",50,15
"166",50,26
"167",51,1
"168",51,3
"169",51,4
"170",51,5
"171",51,26
"172",52,1
"173",52,3
"174",52,4
"175",52,5
"176",52,26
"177",53,15
"178",53,16
"179",54,15
"180",54,16
"181",55,1
"182",55,16
"183",56,1
"184",56,3
"185",56,4
"186",56,5
"187",57,15
"188",58,15
"189",59,1
"190",59,3
"191",59,4
"192",59,5
"193",59,6
"194",59,9
"195",59,10
"196",59,11
"197",59,26
"198",60,9
"199",60,10
"200",60,11
"201",60,26
"202",61,1
"203",61,3
"204",61,4
"205",61,5
"206",61,6
"207",61,8
"208",61,26
"209",62,1
"210",62,3
"211",62,4
"212",62,5
"213",62,6
"214",62,8
"215",62,9
"216",62,10
"217",62,11
"218",62,12
"219",62,13
"220",62,15
"221",62,26
"222",63,1
"223",63,3
"224",63,4
"225",63,5
"226",63,6
"227",63,8
"228",63,26
"229",64,1
"230",64,3
"231",64,4
"232",64,5
"233",64,6
"234",64,8
"235",64,26
"236",65,1
"237",65,3
"238",65,4
"239",65,5
"240",65,12
"241",65,13
"242",65,26
"243",66,1
"244",66,3
"245",66,4
"246",66,5
"247",66,26
"248",67,1
"249",67,3
"250",67,4
"251",67,5
"252",67,15
"253",67,26
"254",68,1
"255",68,3
"256",68,4
"257",68,5
"258",68,9
"259",68,10
"260",68,11
"261",68,15
"262",68,26
"263",69,22
"264",69,29
"265",70,22
"266",70,29
"267",71,22
"268",71,29
"269",72,22
"270",72,29
"271",73,22
"272",73,28
"273",73,29
"274",74,22
"275",74,29
"276",75,22
"277",75,29
"278",76,22
"279",76,28
"280",76,29
"281",77,1
