"id","name","icon"
1,"음식","https://django-uxvt.onrender.com/media/음식.png"
2,"배달","https://django-uxvt.onrender.com/media/배달.png"
3,"카페","https://django-uxvt.onrender.com/media/카페.png"
4,"제과","https://django-uxvt.onrender.com/media/제과.png"
5,"디저트","https://django-uxvt.onrender.com/media/디저트.png"
6,"스마트스토어/쇼핑몰","https://django-uxvt.onrender.com/media/스마트스토어_쇼핑몰.png"
7,"무인 창업","https://django-uxvt.onrender.com/media/무인창업.png"
8,"편의점","https://django-uxvt.onrender.com/media/편의점.png"
9,"미용","https://django-uxvt.onrender.com/media/미용.png"
10,"뷰티","https://django-uxvt.onrender.com/media/뷰티.png"
11,"네일","https://django-uxvt.onrender.com/media/네일.png"
12,"스터디카페","https://django-uxvt.onrender.com/media/스터디.png"
13,"학원/교육","https://django-uxvt.onrender.com/media/학원_교육.png"
14,"애견샵/반려동물","https://django-uxvt.onrender.com/media/애견샵_반려동물.png"
15,"숙박업","https://django-uxvt.onrender.com/media/숙박업.png"
16,"레저","https://django-uxvt.onrender.com/media/레저.png"
17,"오락","https://django-uxvt.onrender.com/media/오락.png"
18,"스크린","https://django-uxvt.onrender.com/media/스크린.png"
19,"헬스장","https://django-uxvt.onrender.com/media/헬스장.png"
20,"레슨샵","https://django-uxvt.onrender.com/media/레슨샵.png"
21,"유통업","https://django-uxvt.onrender.com/media/유통업.png"
22,"스타트업/1인기업","https://django-uxvt.onrender.com/media/스타트업_1인기업.png"
23,"노점","https://django-uxvt.onrender.com/media/노점.png"
24,"푸드트럭","https://django-uxvt.onrender.com/media/푸드트럭.png"
25,"사업","https://django-uxvt.onrender.com/media/사업.png"
26,"해외장사","https://django-uxvt.onrender.com/media/해외장사.png"
27,"전문서비스","https://django-uxvt.onrender.com/media/전문서비스.png"
28,"기술창업","https://django-uxvt.onrender.com/media/기술창업.png"
